puntaje,titulo,institucion,cantidad_opiniones
4.758620689655173,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,203
4.816438356164384,Indigenous Canada,University of Alberta,1460
4.587743732590529,Industrial Biotechnology,University of Manchester   ,359
4.65406976744186,Information Security: Context and Introduction,"Royal Holloway, University of London",344
4.700440528634362,"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,227
4.842696629213483,Financing and Investing in Infrastructure,Università Bocconi,356
4.764331210191083,Engineering Project Management: Initiating and Planning,Rice University,471
4.636075949367089,Innovation Management,Erasmus University Rotterdam,316
4.757894736842105,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,95
3.860215053763441,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,93
4.444444444444445,Intercultural Management,ESCP Business School,63
4.835548172757475,Introduction to International Criminal Law,Case Western Reserve University,602
4.842931937172775,International Humanitarian Law in Theory and Practice,Universiteit Leiden,191
4.751412429378531,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,177
4.316666666666666,International migrations: a global issue,Sciences Po,60
4.801418439716312,International Organizations Management,University of Geneva,282
4.59433962264151,Understanding International Relations Theory,National Research University Higher School of Economics,106
4.658227848101266,International Security Management,Erasmus University Rotterdam,79
4.854460093896714,Rethinking International Tax Law,Universiteit Leiden,213
4.883720930232558,Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,43
4.563106796116505,Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,103
4.825842696629214,Introduction to Chemistry:  Reactions and Ratios,Duke University,178
4.8392156862745095,Introduction to English Common Law,University of London,255
4.732971165900543,Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,2393
4.136363636363637,Introduction to Economic Theories,Erasmus University Rotterdam,44
4.800595238095238,Code Yourself! An Introduction to Programming,The University of Edinburgh,672
4.647590361445783,Introduction to Self-Driving Cars,University of Toronto,332
4.739130434782608,Introduction to Structured Query Language (SQL),University of Michigan,713
4.0,Introduction to Healthcare,Stanford University,6
4.616487455197133,Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,558
4.909090909090909,Introduction to Classical Music,Yale University,792
4.790759075907591,Introduction to CSS3,University of Michigan,1515
4.711920529801325,Introduction to Blockchain Technologies,INSEAD,302
4.274461028192372,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,1206
4.275229357798165,Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,109
4.619596541786744,Introduction to G Suite,Google Cloud,347
4.477894736842106,Introduction to Genomic Technologies,Johns Hopkins University,475
4.791848617176128,Introduction to Git and GitHub,Google,687
4.753086419753086,Introduction to Intellectual Property,University of Pennsylvania,81
4.769230769230769,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,195
